ID_1,hashtag,Video Link ,Relevance ,Condition,Creator Type,Creator age,Creator Gender,Video Length (s),Likes,Shares,Comments,Mode 1,Mode 2,Mode 3,Mode 4,Video Type,Humor,Video Accuracy,Understandability ,Theme 1,Theme 2,Theme 3,Theme 4
403,#ovariancancer,https://www.tiktok.com/@alexis.kawasaki/video/6919974820390161670,Y,#ovariancancer,Patient,Over 25,F,53,10400,474,146,Speech,Responding to Comment,,,Personal Testimony,N,3,3,Signs & Symptoms,Diagnosis,Support Networks,
771,#utiremedies,https://www.tiktok.com/@samanthayalunghealth/video/6958620790728264965,Y,#utiremedies,Lay person,Over 25,F,19,607,29,54,Speech,Text,Visual Aid,,Raising Awareness (Lay),N,3,3,Alternative Therapies,,,
722,#uti,https://www.tiktok.com/@haileycrawfishhh/video/6980858213096819973,Y,#uti,Patient,Under 25,F,52,84200,278,31,Viral Music,Text,Acting,,Personal Testimony,N,3,3,Signs & Symptoms,,,
334,#hysterectomy,https://www.tiktok.com/@carolannmartin4/video/6970280380796652805,Y,#hysterectomy,Patient,Over 25,F,12,141,6,0,Text,Viral Music,Visual Aid,,Personal Testimony,N,3,3,Success Stories,,,
551,#pcos,https://www.tiktok.com/@phoebe_rowe/video/6983351492430368005,Y,#pcos,Patient,Under 25,F,15,43700,272,97,Viral Music,Text,,,Personal Testimony,N,3,3,Seeking Empathy,Diagnosis,,
128,#breastcancer,https://www.tiktok.com/@larissanoel11/video/7008601780388990213,Y,#breastcancer,Patient,Over 25,F,12,478400,2082,716,Viral Music,Text,Visual Aid,,Personal Testimony,N,3,3,Coping with Illness,Side Effects,,
116,#breastcancer,https://www.tiktok.com/@missjjay/video/6995251269065657606,Y,#breastcancer,Patient,Over 25,F,15,9391,389,17,Viral Music,Text,Dance Trend,,Personal Testimony,N,3,3,Seeking Empathy,Diagnosis,,
206,#endometriosis,https://www.tiktok.com/@dr.karanr/video/6994474075259194629,Y,#endometriosis,Medical Professional,Over 25,M,29,375300,7989,15600,Speech,Visual Aid,,,Raising Awareness (Medical),N,3,3,Diagnosis,,,
611,#pms,https://www.tiktok.com/@doctor.siya/video/6908380925197815042,Y,#pms,Medical Professional,Over 25,M,9,6522,219,1098,Viral Music,Text,,,Raising Awareness (Medical),N,3,3,Signs & Symptoms,,,
682,#uterinecancer,https://www.tiktok.com/@drdonsdizon/video/6915539137584057605,Y,#uterinecancer,Medical Professional,Over 25,M,59,68,13,6,Speech,Responding to Comment,Text,,Raising Awareness (Medical),N,3,3,Conventional Treatment ,Diagnosis,Support Networks,
646,#pms,https://www.tiktok.com/@textfortheaddie/video/6983109200234728710,Y,#pms,Lay person,Under 25,F,5,64700,105,219,Viral Music,Text,,,Humor,Y,3,3,Support Networks,,,
313,#hysterectomy,https://www.tiktok.com/@procrastinating.a/video/6973063522381253893,Y,#hysterectomy,Patient,Over 25,F,45,1037,133,11,Viral Music,Text,Visual Aid,,Personal Testimony,N,3,3,Success Stories,,,
389,#infertilityjourney,https://www.tiktok.com/@emmgemmm/video/6988247233342885126,Y,#infertilityjourney,Patient,Over 25,F,18,2409,101,15,Viral Music,Text,Acting,,Personal Testimony,N,3,3,Seeking Empathy,,,
575,#pelvicfloor,https://www.tiktok.com/@the.belly.whisperer/video/6936674542458866950,Y,#pelvicfloor,Medical Professional,Over 25,F,18,33000,200,2232,Viral Music,Visual Aid,Text,,Raising Awareness (Medical),N,3,3,Health & Exercise Tips,,,
651,#pms,https://www.tiktok.com/@sanaod/video/6954003301125852421,Y,#pms,Patient,Under 25,F,46,631300,5886,20200,Acting,Text,Viral Music,,Personal Testimony,N,3,3,Side Effects,Success Stories,,
432,#ovariancancer,https://www.tiktok.com/@lek.ziora/video/6990704212648791301,Y,#ovariancancer,Medical Professional,Over 25,M,25,343700,6639,16800,Text,Visual Aid,,,Raising Awareness (Medical),N,3,3,Conventional Treatment ,,,
423,#ovariancancer,https://www.tiktok.com/@caressaraquel/video/7003200013832621317,Y,#ovariancancer,Patient,Under 25,F,9,5971,37,4,Viral Music,Text,,,Personal Testimony,N,3,3,Side Effects,Coping with Illness,Support Networks,
644,#pms,https://www.tiktok.com/@abienergy22/video/6974835147988356358,Y,#pms,Lay person,Over 25,F,12,40800,252,1983,Speech,Visual Aid,Text,,Raising Awareness (Lay),N,2,3,Alternative Therapies,,,
718,#uti,https://www.tiktok.com/@tricia.kid/video/6935371625848179974,Y,#uti,Patient,Under 25,F,60,32900,701,4009,Speech,Stitch,Visual Aid,,Personal Testimony,N,3,3,Alternative Therapies,Success Stories,,
635,#pms,https://www.tiktok.com/@thecurvymom/video/6915479579008257285,Y,#pms,Patient,Over 25,F,15,1800000,12000,31200,Viral Music,Text,,,Personal Testimony,N,3,3,Coping with Illness,,,
592,#pelvicfloor,https://www.tiktok.com/@midwifemama/video/6996684967656836357,Y,#pelvicfloor,Medical Professional,Over 25,F,9,1933,10,10,Viral Music,Text,Visual Aid,,Raising Awareness (Medical),N,3,2,Health & Exercise Tips,,,
748,#uti,https://www.tiktok.com/@daddy.issues/video/6865828411718372614,N,#uti,NA,Under 25,F,59,364600,2568,6244,Speech,,,,NA,N,,,NA,,,
409,#ovariancancer,https://www.tiktok.com/@pansexualchunk/video/6902689667448098053,Unavailable,#ovariancancer,NA,Unknown,Unknown,,,,,,,,,NA,N,,,NA,,,
93,#birthcontrolsideeffects,https://www.tiktok.com/@scann7/video/6960753036381670661,Y,#birthcontrolsideeffects,Lay person,Under 25,F,6,323000,0,16900,Visual Aid,Text,,,Raising Awareness (Lay),N,3,3,Side Effects,Support Networks,,
160,#cervicalcancer,https://www.tiktok.com/@karlaarmes/video/6886862770411687169,Y,#cervicalcancer,Patient,Over 25,F,15,2712,312,29,Text,Viral Music,,,Personal Testimony,N,3,3,Seeking Empathy,Diagnosis,Promoting Preventive Care,
472,#papsmear,https://www.tiktok.com/@leathermanlife/video/7003374720666045701,Y,#papsmear,Patient,Unknown,F,5,3502,42,26,Text,Viral Music,Visual Aid,,Medical Visit Narratives,Y,3,3,Promoting Preventive Care,,,
444,#ovariancancer,https://www.tiktok.com/@drdonsdizon/video/6936615458044939526,Y,#ovariancancer,Medical Professional,Over 25,M,55,436,40,11,Text,Speech,Responding to Comment,,Raising Awareness (Medical),N,3,3,Conventional Treatment ,Support Networks,,
195,#cervicalcancer,https://www.tiktok.com/@momo.gracie/video/6885427993469144325,Y,#cervicalcancer,Patient,Over 25,F,20,666,48,3,Viral Music,Visual Aid,Text,,Personal Testimony,N,3,3,Support Networks,Coping with Illness,,
562,#pelvicfloor,https://www.tiktok.com/@drb_dpt/video/6930746197267287301,Y,#pelvicfloor,Medical Professional,Over 25,F,8,57400,1690,1629,Viral Music,Visual Aid,Text,,Raising Awareness (Medical),Y,3,3,Promoting Preventive Care,,,
149,#breastcancer,https://www.tiktok.com/@thebreastlessjess/video/6934778306352942341,Unavailable,#breastcancer,NA,Unknown,Unknown,,,,,,,,,NA,,,,NA,,,
603,#pms,https://www.tiktok.com/@julia_schuller/video/6924861224584875270,Y,#pms,Patient,Over 25,F,53,68100,1368,4155,Speech,Text,,,Personal Testimony,Y,3,3,Promoting Preventive Care,,,
20,#birthcontrol,https://www.tiktok.com/@sarahgracemeck/video/6981582126814596358,Y,#birthcontrol,Patient,Under 25,F,8,22300,237,1055,Acting,Text,Viral Music,,Personal Testimony,Y,3,3,Support Networks,Side Effects,,
493,#papsmear,https://www.tiktok.com/@smileybebs/video/6966900281523096833,Y,#papsmear,Lay person,Under 25,F,34,3043,28,111,Viral Music,Visual Aid,Duet,,Raising Awareness (Lay),N,3,2,Promoting Preventive Care,,,
242,#endometriosis,https://www.tiktok.com/@paigemorgannn3/video/6936786337311853829,Y,#endometriosis,Patient,Under 25,F,6,7147,117,40,Text,Viral Music,,,Personal Testimony,N,3,3,Poor Medical Care,Seeking Empathy,,
185,#cervicalcancer,https://www.tiktok.com/@hey_its_me_clare/video/6996313192817331461,Y,#cervicalcancer,Patient,Over 25,F,10,1106,115,16,Text,Viral Music,,,Personal Testimony,N,3,3,Poor Medical Care,Diagnosis,Support Networks,
261,#fibroids,https://www.tiktok.com/@medicinemami/video/6962660989342878981,Y,#fibroids,Lay person,Under 25,F,53,3975,0,605,Speech,Text,Responding to Comment,,Raising Awareness (Lay),N,2,3,Diet & Nutrition ,Alternative Therapies,Support Networks,
624,#pms,https://www.tiktok.com/@acupuncturedr/video/6932224407679110406,Y,#pms,Lay person,Over 25,F,11,178800,4715,2452,Text,Viral Music,,,Raising Awareness (Lay),N,1,3,Signs & Symptoms,,,
137,#breastcancer,https://www.tiktok.com/@kayde.ford/video/6899564654280887558,Y,#breastcancer,Patient,Over 25,F,55,601900,37600,1638,Visual Aid,Text,,,Personal Testimony,N,3,3,Coping with Illness,Seeking Empathy,Side Effects,
725,#uti,https://www.tiktok.com/@evadrazz/video/6919272599407119621,Y,#uti,Patient,Under 25,F,9,628600,8698,30900,Acting,Text,Viral Music,,Personal Testimony,Y,3,3,Promoting Preventive Care,Sexual Health,,
343,#hysterectomy,https://www.tiktok.com/@justmilfnaround/video/6985676858532580614,Y,#hysterectomy,Patient,Over 25,F,13,168,23,2,Viral Music,Text,,,Personal Testimony,N,3,3,Support Networks,,,
285,#fibroids,https://www.tiktok.com/@bree__madison/video/6979780216394714369,Y,#fibroids,Patient,Over 25,F,41,524,72,1,Viral Music,Text,Visual Aid,,Personal Testimony,N,3,3,Seeking Empathy,Poor Medical Care,,
657,#uterinecancer,https://www.tiktok.com/@triciasnyder/video/6969620399088782598,Y,#uterinecancer,Patient,Over 25,F,59,159,32,7,Text,Responding to Comment,Speech,,Personal Testimony,N,3,3,Support Networks,Signs & Symptoms,,
65,#birthcontrolsideeffects,https://www.tiktok.com/@tialynnroy/video/6987903585526844678,Y,#birthcontrolsideeffects,Patient,Over 25,F,7,763,8,14,Text,Viral Music,Dance Trend,,Personal Testimony,Y,3,3,Sexual Health,,,
558,#pelvicfloor,https://www.tiktok.com/@nosuchthingas_tmi/video/6988591045302832390,Y,#pelvicfloor,Medical Professional,Under 25,F,49,514600,2812,25800,Text,Speech,Visual Aid,,Raising Awareness (Medical),N,3,3,Health & Exercise Tips,,,
637,#pms,https://www.tiktok.com/@vicsauce/video/6949674395682016517,Y,#pms,Patient,Over 25,F,9,86300,306,372,Speech,Text,,,Humor,Y,3,3,Coping with Illness,,,
255,#fibroids,https://www.tiktok.com/@officialblaire/video/7006749324986141957,Y,#fibroids,Medical Professional,Over 25,M,15,2685,182,68,Dance Trend,Viral Music,Text,,Raising Awareness (Medical),N,3,3,Signs & Symptoms,,,
122,#breastcancer,https://www.tiktok.com/@maddestqueen/video/7003058721551060230,Y,#breastcancer,Patient,Over 25,F,15,233,31,1,Viral Music,Text,,,Personal Testimony,N,3,2,Side Effects,Patient Expertise,,
270,#fibroids,https://www.tiktok.com/@nadyaokamoto/video/7010030973240872197,Y,#fibroids,Lay person,Under 25,F,20,63500,492,103,Speech,Visual Aid,Responding to Comment,,Raising Awareness (Lay),N,3,2,Signs & Symptoms,,,
320,#hysterectomy,https://www.tiktok.com/@peta1111/video/7001404310689025281,Y,#hysterectomy,Patient,Over 25,F,12,2572,159,27,Dance Trend,Text,,,Personal Testimony,N,3,3,Success Stories,Coping with Illness,,
701,#uterinecancer,https://www.tiktok.com/@perfectlyimperfect40/video/6837107386990267653,Y,#uterinecancer,Patient,Under 25,F,15,167,25,2,Viral Music,,,,Personal Testimony,N,3,3,Seeking Empathy,,,
204,#endometriosis,https://www.tiktok.com/@natalya.michelle/video/6988535597828754694,Y,#endometriosis,Patient,Under 25,F,12,1750,60,94,Text,Dance Trend,Viral Music,,Raising Awareness (Lay),N,3,3,Support Networks,Coping with Illness,,
550,#pcos,https://www.tiktok.com/@drlorashahine/video/6783022453535919365,Y,#pcos,Medical Professional,Over 25,F,11,14600,240,318,Viral Music,Text,Dance Trend,,Raising Awareness (Medical),Y,3,3,Signs & Symptoms, ,,
358,#infertilityjourney,https://www.tiktok.com/@emilyyorlando/video/6985596884865797382,Y,#infertilityjourney,Patient,Under 25,F,11,3393,114,26,Viral Music,Text,,,Personal Testimony,N,3,3,Support Networks,Coping with Illness,,
454,#papsmear,https://www.tiktok.com/@midwifemama/video/6972130908862156037,Y,#papsmear,Medical Professional,Over 25,F,20,8910,198,511,Viral Music,Visual Aid,,,Raising Awareness (Medical),N,3,3,Promoting Preventive Care,,,
303,#hysterectomy,https://www.tiktok.com/@abortedchickenbreast/video/6949939022743522566,Unavailable,#hysterectomy,NA,NA,NA,,,,,NA,,,,NA,,,,NA,,,
212,#endometriosis,https://www.tiktok.com/@callmedoctor.p/video/6935844591983742213,Y,#endometriosis,Medical Professional,Over 25,F,16,7884,214,400,Dance Trend,Text,,,Raising Awareness (Medical),N,3,3,Signs & Symptoms,Conventional Treatment,,
593,#pelvicfloor,https://www.tiktok.com/@nosuchthingastmi/video/6983756679842106629,Y,#pelvicfloor,Medical Professional,Over 25,F,8,528,17,5,Acting,Text,,,Raising Awareness (Medical),N,3,2,Signs & Symptoms,Promoting Preventive Care,,
511,#pcos,https://www.tiktok.com/@thatpcoscoach/video/7007120147433442565,Y,#pcos,Lay person,Over 25,F,23,3966,128,39,Dance Trend,Viral Music,Text,,Raising Awareness (Lay),N,3,2,Alternative Therapies,Coping with Illness,,
507,#pcos,https://www.tiktok.com/@pcos.weight.loss/video/7009340704681954565,Y,#pcos,Patient,Over 25,F,14,55600,665,2051,Dance Trend,Text,Viral Music,,Personal Testimony,N,3,3,Signs & Symptoms,Coping with Illness,Support Networks,
401,#infertilityjourney,https://www.tiktok.com/@maddiewilsonmusic/video/6943651852898651397,Y,#infertilityjourney,Patient,Over 25,F,51,246800,4011,6799,Text,Viral Music,,,Personal Testimony,N,3,3,Seeking Empathy,Support Networks,,
209,#endometriosis,https://www.tiktok.com/@daniellewehbe/video/7004744202143714562,Y,#endometriosis,Patient,Over 25,F,59,231800,1812,1718,Visual Aid,Speech,,,Personal Testimony,Y,3,3,Coping with Illness,,,
773,#utiremedies,https://www.tiktok.com/@drmaryphd/video/6878059699451874565,Y,#utiremedies,Lay person,Over 25,F,15,362,2,3,Speech,Visual Aid,,,Personal Testimony,N,3,3,Alternative Therapies,,,
370,#infertilityjourney,https://www.tiktok.com/@erika.hamner/video/6941817697202228486,Y,#infertilityjourney,Patient,Over 25,F,26,4933,133,21,Visual Aid,Viral Music,,,Personal Testimony,N,3,3,Coping with Illness,Success Stories,,
733,#uti,https://www.tiktok.com/@radha_r31/video/6994199904210013446,Y,#uti,Lay person,Over 25,F,30,35200,205,5412,Visual Aid,Speech,Viral Music,,Raising Awareness (Lay),N,3,3,Diet & Nutrition ,,,
419,#ovariancancer,https://www.tiktok.com/@savage0420/video/6990810506109914374,Y,#ovariancancer,Patient,Over 25,F,17,4660,273,21,Visual Aid,Viral Music,Text,,Personal Testimony,N,3,3,Success Stories,Coping with Illness,Side Effects,
479,#papsmear,https://www.tiktok.com/@hannahkmurray01/video/6996479067587480837,Y,#papsmear,Patient,Under 25,F,6,1426,21,4,Text,Viral Music,,,Personal Testimony,Y,3,3,Promoting Preventive Care,,,
582,#pelvicfloor,https://www.tiktok.com/@devwindsor/video/7001487933790260486,Y,#pelvicfloor,Patient,Under 25,F,12,12800,54,47,Text,Visual Aid,Speech,,Personal Testimony,Y,3,3,Health & Exercise Tips,,,
443,#ovariancancer,https://www.tiktok.com/@gorilla.girp.gabi/video/6927758841991990533,Y,#ovariancancer,Patient,Under 25,F,47,12200,76,45,Speech,Responding to Comment,Visual Aid,,Personal Testimony,N,3,3,Side Effects,Success Stories,Signs & Symptoms,Poor Medical Care
734,#uti,https://www.tiktok.com/@juicingtutorials/video/6932613948592164102,Y,#uti,Organization,NA,NA,10,69300,285,2028,Visual Aid,Speech,Viral Music,,Personal Testimony,Y,3,3,Alternative Therapies,Coping with Illness,,
621,#pms,https://www.tiktok.com/@lei.da.bae/video/6968853383801359622,Y,#pms,Patient,Under 25,F,12,78700,2201,2078,Viral Music,Acting,,,Personal Testimony,Y,3,3,Coping with Illness,Support Networks,,
476,#papsmear,https://www.tiktok.com/@midwifemama/video/6977165162172157189,Y,#papsmear,Medical Professional,Over 25,F,10,121700,4027,5550,Viral Music,Visual Aid,,,Raising Awareness (Medical),N,3,3,Promoting Preventive Care,,,
77,#birthcontrolsideeffects,https://www.tiktok.com/@peachygabriella/video/6944393596665695494,Y,#birthcontrolsideeffects,Patient,Under 25,F,10,2637,20,74,Text,Viral Music,,,Personal Testimony,N,3,3,Side Effects,,,
544,#pcos,https://www.tiktok.com/@katypcos/video/6926576597420068102,Y,#pcos,Patient,Under 25,F,8,19300,99,143,Text,Viral Music,,,Raising Awareness (Lay),N,2,2,Success Stories,Support Networks,,
344,#hysterectomy,https://www.tiktok.com/@swissmiss74/video/6968263271061228806,Y,#hysterectomy,Patient,Over 25,F,6,3697,275,14,Text,Visual Aid,Viral Music,,Personal Testimony,N,3,3,Success Stories,,,
102,#breastcancer,https://www.tiktok.com/@connealymd/video/6946243268501867782,Y,#breastcancer,Medical Professional,Over 25,F,47,2260,147,194,Speech,Text,,,Raising Awareness (Medical),N,3,3,Signs & Symptoms,Conventional Treatment,,
286,#fibroids,https://www.tiktok.com/@tikamargarita/video/6963668626423565573,Y,#fibroids,Patient,Over 25,F,9,481,13,2,Text,Viral Music,,,Medical Visit Narratives,N,3,3,Coping with Illness,Conventional Treatment,Support Networks,
633,#pms,https://www.tiktok.com/@paulnsoph/video/6860607590733286662,Y,#pms,Family/Support,Under 25,M,24,777000,2449,25200,Speech,Text,,,Humor,Y,3,3,Signs & Symptoms,,,
338,#hysterectomy,https://www.tiktok.com/@lotsaknots/video/6922619731623120134,Y,#hysterectomy,Patient,Over 25,F,6,11100,386,161,Dance Trend,Text,Viral Music,,Personal Testimony,N,3,3,Success Stories,,,
306,#hysterectomy,https://www.tiktok.com/@lotsaknots/video/6930322800263712006,Y,#hysterectomy,Patient,Over 25,F,15,7729,389,109,Viral Music,Text,Dance Trend,,Personal Testimony,Y,3,3,Success Stories,Coping with Illness,,
426,#ovariancancer,https://www.tiktok.com/@the.molly.connolly/video/6976760656276032774,Y,#ovariancancer,Patient,Over 25,F,15,539,146,2,Speech,Duet,Text,,Personal Testimony,N,3,3,Support Networks,Coping with Illness,,
429,#ovariancancer,https://www.tiktok.com/@lesh1997/video/6993406183700794630,Y,#ovariancancer,Patient,Over 25,F,10,2008,125,10,Viral Music,,,,Personal Testimony,Y,3,3,Coping with Illness,,,
